Allocation Subcategory,City,College,Gift Allocation,Gift Amount,Gift Date,Major,Prospect ID,State
Campus Museums,Manchester,College of Arts and Sciences,Campus Resource,3263,5/6/2012,Arts & Letters-General,2067,NH
Minority Scholarship Fund,Dallas,College of Natural Science,Scholarship,3984,8/7/2013,Plant Biology,2068,TX
College of Arts and Sciences,Dallas,College of Natural Science,Scholarship,9379,4/17/2014,Plant Biology,2068,TX
Minority Scholarship Fund,Denver,College of Natural Science,Scholarship,9081,12/1/2012,Statistics,2069,CO
College of Social Science,Denver,College of Natural Science,Scholarship,13830,9/4/2013,Statistics,2069,CO
College of Agriculture and Natural Resources,Denver,College of Agriculture and Natural Resources,Scholarship,14157,10/4/2014,Fisheries and Wildlife,2070,CO
Trustees Fund,Denver,College of Natural Science,Endowment,7351.5,1/10/2012,Chemical Physics,2071,CO
Campus Museums,Denver,College of Natural Science,Campus Resource,11058,3/12/2013,Chemical Physics,2071,CO
University Annual Fund,Detroit,College of Arts and Sciences,Endowment,6133,11/29/2014,Art History and Visual Culture,2072,MI
University Libraries,Detroit,College of Arts and Sciences,Campus Resource,9657,2/7/2012,Art History and Visual Culture,2072,MI
Minority Scholarship Fund,Cincinnati,College of Agriculture and Natural Resources,Scholarship,1532,6/29/2013,Interior Design,2073,OH
Faculty Chair Endowments,Cincinnati,College of Agriculture and Natural Resources,Endowment,9923,12/9/2014,Interior Design,2073,OH
University Libraries,Milwaukee,College of Natural Science,Campus Resource,5976,6/1/2012,Environmental Biology/Microbiology,2074,WI
Athletics,Milwaukee,College of Natural Science,Campus Resource,6805,1/23/2013,Environmental Biology/Microbiology,2074,WI
Athletics,Denver,College of Arts and Sciences,Campus Resource,9720,6/7/2014,English,2075,CO
College of Engineering,Denver,College of Arts and Sciences,Scholarship,8953.5,1/30/2012,English,2075,CO
College of Engineering,Los Angeles,College of Arts and Sciences,Scholarship,9612,10/27/2013,German,2076,CA
University Annual Fund,Los Angeles,College of Arts and Sciences,Endowment,2329,10/23/2014,German,2076,CA
College of Social Science,Savannah,College of Natural Science,Scholarship,3180,11/6/2012,Human Biology,2077,GA
College of Communication Arts and Sciences,Savannah,College of Natural Science,Scholarship,8796,11/20/2013,Human Biology,2077,GA
Honors Program,Oklahoma City,College of Arts and Sciences,Campus Resource,9012,10/10/2014,Professional Writing,2078,OK
Trustees Fund,Oklahoma City,College of Arts and Sciences,Endowment,711,10/12/2012,Professional Writing,2078,OK
University Annual Fund,Wichita,College of Natural Science,Endowment,8657,6/15/2013,Mathematics,2079,KS
Trustees Fund,Wichita,College of Natural Science,Endowment,4897,3/22/2014,Mathematics,2079,KS
Trustees Fund,Phoenix,College of Political Science,Endowment,5879,7/23/2012,Comparative Cultures and Politics,2080,AZ
Trustees Fund,Phoenix,College of Political Science,Endowment,2163,10/5/2013,Comparative Cultures and Politics,2080,AZ
Diversity Fund,Wichita,College of Nursing,Endowment,8528,9/12/2014,Nursing,2081,KS
Trustees Fund,Wichita,College of Nursing,Endowment,2731,11/11/2012,Nursing,2081,KS
Trustees Fund,San Francisco,College of Arts and Sciences,Endowment,5010,9/8/2013,Theatre,2082,CA
University Annual Fund,San Francisco,College of Arts and Sciences,Endowment,6838,1/16/2014,Theatre,2082,CA
College of Social Science,Los Angeles,College of Arts and Sciences,Scholarship,6658,8/26/2012,Studio Art,2083,CA
Diversity Fund,Los Angeles,College of Arts and Sciences,Endowment,2775,3/26/2013,Studio Art,2083,CA
Campus Recreation,Washington,College of Natural Science,Campus Resource,530,5/19/2014,Biochemistry and Molecular Biology/Biotechnology,2084,DC
University Libraries,Washington,College of Natural Science,Campus Resource,4510,4/16/2012,Biochemistry and Molecular Biology/Biotechnology,2084,DC
College of Arts and Sciences,Austin,College of Social Science,Scholarship,2413,11/24/2013,Sociology,2085,TX
College of Natural Science,Austin,College of Social Science,Scholarship,1896,5/16/2014,Sociology,2085,TX
College of Engineering,Providence,College of Music,Scholarship,5613,4/24/2012,Music,2086,RI
College of Agriculture and Natural Resources,Providence,College of Music,Scholarship,6200,3/21/2013,Music,2086,RI
University Annual Fund,Syracuse,College of Social Science,Endowment,2464,10/12/2014,Global & Area Studies - Soc Sci,2087,NY
College of Natural Science,Syracuse,College of Social Science,Scholarship,6032,10/25/2012,Global & Area Studies - Soc Sci,2087,NY
Minority Scholarship Fund,Scottsdale,College of Agriculture and Natural Resources,Scholarship,8017,2/10/2013,Landscape Architecture,2088,AZ
Alumni Association,Scottsdale,College of Agriculture and Natural Resources,Campus Resource,5202,2/26/2014,Landscape Architecture,2088,AZ
Faculty Chair Endowments,Columbia,College of Arts and Sciences,Endowment,3883,6/17/2012,Women's and Gender Studies,2089,SC
In-State Scholarship Fund,Columbia,College of Arts and Sciences,Scholarship,8364,12/6/2013,Women's and Gender Studies,2089,SC
College of Natural Science,Detroit,College of Social Science,Scholarship,3715,8/25/2014,Interdisciplinary Studies in Social Science,2090,MI
College of Music,Detroit,College of Social Science,Scholarship,554,2/2/2012,Interdisciplinary Studies in Social Science,2090,MI
In-State Scholarship Fund,Houston,College of Natural Science,Scholarship,5718,1/15/2013,Computational Mathematics,2091,TX
Faculty Chair Endowments,Houston,College of Natural Science,Endowment,582,12/22/2014,Computational Mathematics,2091,TX
Trustees Fund,Los Angeles,College of Arts and Sciences,Endowment,5510,1/16/2012,Spanish,2094,CA
College of Agriculture and Natural Resources,Los Angeles,College of Arts and Sciences,Scholarship,3577,5/18/2013,Spanish,2094,CA
Trustees Fund,Hartford,College of Natural Science,Endowment,4264,9/19/2014,Actuarial Science,2095,CT
Trustees Fund,Hartford,College of Natural Science,Endowment,8558,7/5/2012,Actuarial Science,2095,CT
Faculty Chair Endowments,Chicago,College of Music,Endowment,7342,1/9/2013,Composition,2096,IL
Minority Scholarship Fund,Chicago,College of Music,Scholarship,91,12/23/2014,Composition,2096,IL
College of Arts and Sciences,Memphis,College of Arts and Sciences,Scholarship,9665,3/25/2012,Spanish,2097,TN
Trustees Fund,Memphis,College of Arts and Sciences,Endowment,4327,5/5/2013,Spanish,2097,TN
College of Social Science,Chicago,College of Music,Scholarship,9013,6/15/2014,Music,2098,IL
College of Engineering,Chicago,College of Music,Scholarship,6723,2/23/2012,Music,2098,IL
Diversity Fund,Columbia,College of Natural Science,Endowment,309,12/5/2013,Biomedical Laboratory Science,2099,SC
Campus Recreation,Columbia,College of Natural Science,Campus Resource,290,6/22/2014,Biomedical Laboratory Science,2099,SC
College of Natural Science,New Orleans,College of Social Science,Scholarship,7476,6/24/2012,Interdisciplinary Studies in Social Science,2100,LA
Diversity Fund,San Francisco,College of Nursing,Endowment,3263,1/11/2014,Summer Research Program,2101,CA
Trustees Fund,Los Angeles,College of Engineering,Endowment,9379,3/7/2013,Engineering-No Major,2102,CA
College of Education,New York,College of Arts and Sciences,Scholarship,9220,10/18/2012,Philosophy,2103,NY
Diversity Fund,Colorado Springs,College of Nursing,Endowment,7050,1/19/2014,Prenursing,2104,CO
Faculty Chair Endowments,Los Angeles,College of Education,Endowment,7372,1/22/2013,Special Education-Learning Disabilities,2105,CA
College of Agriculture and Natural Resources,Cincinnati,College of Music,Scholarship,9657,2/12/2012,Music,2106,OH
Minority Scholarship Fund,Richmond,College of Natural Science,Scholarship,9923,6/26/2014,Zoology,2107,VA
Trustees Fund,Chicago,College of Communication Arts and Sciences,Endowment,6805,11/21/2013,Journalism,2108,IL
Trustees Fund,Denver,College of Natural Science,Endowment,8953.5,2/8/2012,Neuroscience,2109,CO
Trustees Fund,Durham,College of Engineering,Endowment,2329,2/12/2014,Materials Science and Engineering,2110,NC
Diversity Fund,Denver,College of Natural Science,Endowment,13194,9/13/2013,Environmental Geosciences,2111,CO
College of Natural Science,Cincinnati,College of Engineering,Scholarship,711,3/27/2012,Computer Engineering,2112,OH
Minority Scholarship Fund,Tulsa,College of Social Science,Scholarship,4897,8/11/2013,Global & Area Studies - Soc Sci,2113,OK
Honors Program,Atlanta,College of Natural Science,Campus Resource,2163,10/4/2012,Preoptometry,2114,GA
Parents Association,Tucson,College of Arts and Sciences,Campus Resource,2731,7/4/2014,Women's and Gender Studies,2115,AZ
Campus Museums,St. Paul,College of Political Science,Campus Resource,6838,11/29/2012,Political Theory and Constitutional Democracy,2116,MN
Diversity Fund,Indianapolis,College of Education,Endowment,2775,5/9/2014,Education,2117,IN
Diversity Fund,Kansas City,College of Arts and Sciences,Endowment,4510,12/9/2012,Art Education,2118,KS
College of Business,Los Angeles,College of Business,Scholarship,1896,8/7/2014,Marketing,2119,CA
Trustees Fund,Phoenix,College of Social Science,Endowment,6200,6/7/2012,Political Science-Prelaw,2120,AZ
Athletics,San Francisco,College of Agriculture and Natural Resources,Campus Resource,6032,9/4/2014,Natural Resource Recreation and Tourism,2121,CA
University Annual Fund,Los Angeles,College of Natural Science,Endowment,5202,10/23/2012,Human Biology,2122,CA
College of Natural Science,Omaha,College of Engineering,Scholarship,8364,12/25/2014,Environmental Engineering,2123,NE
Diversity Fund,Denver,College of Arts and Sciences,Endowment,11692.5,10/10/2012,Interdisciplinary Humanities,2124,CO
Faculty Chair Endowments,North Las Vegas,College of Agriculture and Natural Resources,Endowment,582,6/18/2013,Environmental Economics and Policy,2125,NV
Diversity Fund,Henderson,College of Music,Endowment,8704,3/22/2012,Music Performance,2126,NV
College of Natural Science,Indianapolis,College of Education,Scholarship,3468,1/23/2014,Athletic Training,2127,IN
College of Natural Science,San Francisco,College of Natural Science,Scholarship,3577,9/12/2012,Predental,2128,CA
Alumni Association,Dallas,College of Arts and Sciences,Campus Resource,8558,8/29/2013,Humanities-Prelaw,2129,TX
In-State Scholarship Fund,Alexandria,College of Engineering,Scholarship,91,1/16/2012,Mechanical Engineering,2130,VA
College of Communication Arts and Sciences,Cincinnati,College of Political Science,Scholarship,4327,11/20/2014,Social Relations and Policy,2131,OH
College of Communication Arts and Sciences,Los Angeles,College of Agriculture and Natural Resources,Scholarship,6723,9/19/2013,Agriculture and Natural Resources-No Preference,2132,CA
Campus Museums,El Paso,College of Agriculture and Natural Resources,Campus Resource,290,5/16/2012,Environmental Economics and Policy,2133,TX
Trustees Fund,Cincinnati,College of Agriculture and Natural Resources,Endowment,3742,10/5/2014,Horticulture,2134,OH
University Annual Fund,Henderson,College of Arts and Sciences,Endowment,8501,6/4/2013,Studio Art,2135,NV
Campus Recreation,Houston,College of Arts and Sciences,Campus Resource,1411,2/26/2012,Apparel and Textile Design,2136,TX
Minority Scholarship Fund,Houston,College of Arts and Sciences,Scholarship,1411,9/19/2015,Apparel and Textile Design,2136,TX
Alumni Association,Cleveland,College of Natural Science,Campus Resource,9502,3/26/2014,Environmental Geosciences,2137,OH
University Libraries,Cleveland,College of Natural Science,Campus Resource,9502,2/10/2015,Environmental Geosciences,2137,OH
College of Education,Houston,College of Engineering,Scholarship,7490,1/28/2013,Materials Science and Engineering,2138,TX
University Annual Fund,Houston,College of Engineering,Endowment,7490,12/23/2015,Materials Science and Engineering,2138,TX
Honors Program,Durham,College of Natural Science,Campus Resource,8323,6/28/2014,Actuarial Science,2139,NC
College of Agriculture and Natural Resources,Durham,College of Natural Science,Scholarship,8323,12/6/2015,Actuarial Science,2139,NC
Diversity Fund,Colorado Springs,College of Engineering,Endowment,2911,12/22/2012,Applied Engineering Sciences,2140,CO
Faculty Chair Endowments,Colorado Springs,College of Engineering,Endowment,2911,6/15/2015,Applied Engineering Sciences,2140,CO
Diversity Fund,Detroit,College of Social Science,Endowment,3354,3/21/2014,Public Policy,2141,MI
College of Agriculture and Natural Resources,Detroit,College of Social Science,Scholarship,3354,1/15/2015,Public Policy,2141,MI
College of Agriculture and Natural Resources,Philadelphia,College of Natural Science,Scholarship,5130,9/19/2012,Environmental Biology/Plant Biol,2142,PA
Faculty Chair Endowments,Philadelphia,College of Natural Science,Endowment,5130,6/29/2015,Environmental Biology/Plant Biol,2142,PA
University Annual Fund,Hartford,College of Agriculture and Natural Resources,Endowment,1871,2/10/2014,Packaging,2143,CT
University Annual Fund,Hartford,College of Agriculture and Natural Resources,Endowment,1871,12/9/2015,Packaging,2143,CT
College of Agriculture and Natural Resources,Cleveland,College of Natural Science,Scholarship,8538,12/23/2012,Biochemistry and Molecular Biology/Biotechnology,2144,OH
College of Communication Arts and Sciences,Cleveland,College of Natural Science,Scholarship,8538,6/1/2015,Biochemistry and Molecular Biology/Biotechnology,2144,OH
Faculty Chair Endowments,Seattle,College of Engineering,Endowment,8577,12/6/2014,Applied Engineering Sciences,2145,WA
Diversity Fund,Seattle,College of Engineering,Endowment,8577,1/23/2015,Applied Engineering Sciences,2145,WA
College of Natural Science,Knoxville,College of Engineering,Scholarship,2918,6/15/2012,Materials Science and Engineering,2146,TN
College of Natural Science,Knoxville,College of Engineering,Scholarship,2918,6/7/2015,Materials Science and Engineering,2146,TN
College of Music,Sacramento,College of Nursing,Scholarship,6339,1/15/2014,Nursing,2147,CA
Campus Recreation,Sacramento,College of Nursing,Campus Resource,6339,1/30/2015,Nursing,2147,CA
